AUCTION_ACTIONS()
AUCTION_TOKENS()
auction()
auction(uint256,uint256)
auctionAddress()
auctionByAddress(address)
auctionCount()
auctionDuration()
auctionEnd()
auctionEndTime()
auctionEnded()
auctionGame()
auctionLength()
auctionLibrary()
auctionPriceParameters()
auctionStartPrice()
auctionState()
auctionTriggerCount(bytes32)
auctionWinnerMessageHash()
auctions(uint256)
bidInAuction()
canStartAuction()
claimAuctionableTokens(uint256)
createAuction(string,string)
dutchAuction()
endAuction()
endFailedAuction()
enterAuction(uint256)
failedAuctionWithdrawComponents(uint256)
finalizeAuction(uint256)
finishAuction()
getActiveAuctions()
getAuctionInformation()
getAuctionPriceParameters()
getDaiBalanceForAuctions()
getFailedAuctionWithdrawComponents()
getFirstAuction()
getTotalNumberOfAuctions()
jackpotReceivedAuction(uint256,address)
pauseAuction()
postAllocateAuctionTimeMints(address,uint256,uint256)
refundFailedAuctionAmount()
remainingAuctionable()
requireAuctionActive(uint256)
resumeAuction()
setAuction(uint256,uint256,uint256)
setAuctionAddress(address)
setAuctionContract(address)
setAuctionWinnerMessageHash(bytes32)
setSettledAverageAuctionPrice(bytes32,uint64,uint64,bool)
startAuction()
startAuctionByMarket(bytes32)
startAuctionOnMaturity(bytes32)
tokensAvailableForAuction(uint256)
updateAuctionLength(uint256)
