AFWBurn(uint256)
AllowBurn()
AllowBurnByCreator()
AlreadyBurnedTokens()
Asetworkingburnrequestid(address,bytes32,uint256)
AssetBurn(address,uint256)
AutoBurnLP()
AwhitelistBurnRequest(address,bool,bytes32)
AworkingBurnRequestIDOf(address)
BURNABLE_UP_TO()
BURNADDR()
BURNER()
BURNER_ADMIN_ROLE()
BURNER_ROLE()
BURNING_ROLE()
BURN_ADDR()
BURN_ADDRESS()
BURN_BOTTOM()
BURN_FEE()
BURN_INACTIVE_TIME()
BURN_OUT()
BURN_PCT()
BURN_PERCENT()
BURN_RATE()
BURN_RESERVE_PCT()
BURN_ROLE()
BURN_SERVICE_NAME()
BURN_TIME_UNIT()
BURN_TOKEN_PERCENT()
BURN_TOP()
Burn()
Burn(address)
Burn(address,address,uint256)
Burn(address,uint256)
Burn(uint256)
Burn(uint256,address)
Burn10percentOfLockedTokens()
BurnAddress()
BurnAllTokens()
BurnAmount(uint256)
BurnBridgesTomorrow(uint256)
BurnBridgesl(uint256)
BurnByOwner(address,uint256)
BurnDarnkess(uint256)
BurnFSATokens(uint256)
BurnFee()
BurnFlower(uint256)
BurnFrozenFunds(address)
BurnGenesisAddresses(address[])
BurnHolderTokens()
BurnHouse(uint256)
BurnHouses(uint256)
BurnInterval()
BurnItBaby(uint256)
BurnItBoy(uint256)
BurnItMia(uint256)
BurnLP(uint256)
BurnLPFair(uint256)
BurnLPNow(uint256)
BurnLPool(uint256)
BurnLpTokensEnabled()
BurnMyTokensAndSetAmountForNewBlockchain()
BurnNToken(uint256)
BurnOnpair(uint256)
BurnOptimusPrime(uint256)
BurnPoolTokens(address,uint256)
BurnRate()
BurnRateDenominator()
BurnRatePercentsDevider()
BurnRobo(uint256)
BurnSize(uint256)
BurnSomeWolfs(uint256)
BurnSupply()
BurnT808(uint256)
BurnTheBridge(uint256)
BurnTheChocolate(uint256)
BurnTheDogs(uint256)
BurnTheFruits(uint256)
BurnTheInu(uint256)
BurnTheMall(uint256)
BurnTheMountain(uint256)
BurnThePool(uint256)
BurnTheSky(uint256)
BurnTheTraitors(uint256)
BurnTheWater(uint256)
BurnThelP(uint256)
BurnThemAll(uint256)
BurnTime(uint256)
BurnToken(address)
BurnToken(address[])
BurnToken(uint256)
BurnTokens()
BurnTokens(uint256)
BurnTokensAndSetAmountForNewBlockchain(address)
BurnTokensFrom(address,uint256)
BurnWood(uint256)
BurnXRUTokens(uint256)
BurningRate()
CAN_BURN()
CAN_BURN_COINS()
CAN_BURN_TOKENS()
CUSTOM_ERC20_BURN_SERVICE_NAME()
DegenBurnContract()
DisableBurning()
ERC20_OVERBURN_DENOMINATOR()
ERC20_OVERBURN_NUMERATOR()
EcevaBurnerStockpileDividends()
FEATURE_BURNS_ON_BEHALF()
FEATURE_OWN_BURNS()
GetBurningStatus()
GetLastBurn()
IsBurnable(address,address)
LAST_TX_LONGTERM_BURN_COUNTER(address)
LAST_TX_SHORTERM_BURN_COUNTER(address)
LOCK_BURN()
LPtokensBurn()
MAX_BURN()
MAX_BURN_BASIS_POINTS()
MAX_BURN_PERCENT()
MAX_BURN_PRICE_MULTIPLIER()
MINT_BURN_ROLE()
MIN_BURN_PCT()
MIN_BURN_PERCENT()
MIN_BURN_PRICE_MULTIPLIER()
OWN_burn(uint256)
OWN_burnAddress(address,uint256)
OWN_burnToken(address,uint256)
Ownerburn(uint256,address)
PoolBurnAndSync()
ROLE_BURN()
ROLE_BURNER()
Remain_burn(uint256)
SetBurnAddress()
SetBurnLimit(uint256)
SetLPPoolBurnAddress()
StartBurnModeDuringTransactions()
SupplyNotForBurn()
TOKEN_BURN_RATE()
TokenBurn()
TokenBurn(uint256)
TotalBurnedLpTokens()
TransactionsWithBurnModeOn()
USDBurn(address,uint256)
ViewBurnLimit()
WALLET_TO_WALLET_BURN_PERCENT()
WithoutBurn(uint256)
XTVBurned()
_AfterBurn()
_BURN()
_BURNATIONTokenBalances(address)
_BURNFROM()
_BURN_FEE()
_Burn(address,uint256)
_Burn2MoonTokenBalances(address)
_BurnAddress()
_BurnAmount()
_BurnRate()
_BurnflationTokenBalances(address)
_CUTEBURNTokenBalances(address)
_DODO_FEE_BURN_RATIO_()
_LockBurn(uint256)
_SPARTAburnTokenBalances(address)
_VAPORBURNTokenBalances(address)
_antiburnTokenBalances(address)
_burn()
_burn(address,uint256)
_burn(address,uint256,uint256)
_burn(uint256)
_burnAddress()
_burnAddresser()
_burnAllowance(address)
_burnAmount()
_burnDurations()
_burnFee()
_burnFeeDecimal()
_burnFeeTotal()
_burnForDeposit(address,uint256)
_burnFrom(address,uint256)
_burnPercent()
_burnPercentAll()
_burnPool()
_burnRate()
_burnStartValue()
_burnStopAmount()
_burnTM(uint256)
_burnToVault(address,uint256)
_burnToken(address,uint256)
_burnToken(uint256)
_burnWalletAddress()
_burnWalletFee()
_burnWhitelist(address)
_burn_address()
_burn_amount_pertime()
_burnadd()
_burnaddd()
_burndiv()
_burned()
_burnedSupply()
_burnedSynth(address)
_burner()
_burningDisable()
_burningEnable()
_burningoneTokenBalances(address)
_burns(address)
_burntBalances(address)
_burntMetal()
_eViralBurned()
_feeToBurn()
_fireburnTokenBalances(address)
_getBurnCycle()
_getBurnFee()
_getburnFee()
_halloweenburnTokenBalances(address)
_initialBurn()
_isEnabledBuyBackAndBurn()
_kyubiBurned()
_maxBurnAmount()
_maximumBurn()
_megaburnTokenBalances(address)
_presaleBurnTotal()
_previousBurnFee()
_progeBurned()
_randomburnTokenBalances(address)
_setBurnFee(uint256)
_setBurnPercentage(uint256)
_setBurnRate(uint256)
_setBurnWalletAddress(address)
_setburnFee(uint256)
_stakingBurnTotal()
_tBurnTotal()
_tLPTotalBurn()
_timeOfLastBurnChange(address)
_toBurn_rate()
_toggleBurnFeeCycling()
_tokenToBurn(uint256)
_totalBurnToken()
_totalBurned()
_totalBurnedLpTokens()
_totalBurnedTokens()
_totalBurnt()
_totalBurntSupply()
_transaction_burn()
_viewBurnRate()
aBurnProperty(uint256,address)
aaandItBurnsBurnsBurns(address,uint256)
activateBurn(bool)
activateOwnerBurn()
addAdminAndMinterAndBurner(address)
addBurnAccount(address)
addBurnExempt(address)
addBurnPermission(address)
addBurnSaleAddress(address)
addBurnWallet(address)
addBurnWhitelist(address)
addBurner(address)
addBurner(address,uint8)
addBurnlist(address)
addBurnner(address)
addEligibleBurner(address)
addReceiverBurnWhitelist(address)
addSenderBurnWhitelist(address)
addToCanBurn(address)
addTransferBurnExceptAddress(address)
addWhitelistedBurn(address)
addWithoutBurn(address)
addressburn(address,uint256)
adminAddBurner(address)
adminBurn(address,uint256)
adminBurn(address,uint256,uint256,uint256)
adminBurn(uint256)
adminBurnToken(uint256)
adminBurnUser(address,uint256)
admin_tokenBurn(uint256)
allInfoBurned()
allowBurn()
allowBurn(address)
allowBurning()
allowBurnsFrom(address)
allowManuallyBurnTokens()
allowToBurn(address)
allowanceBurn(address,address)
allowanceToBurn(address,address)
amountBurned()
amountToBurn(uint256)
annotatedBurn(address,uint256,string,string)
approveBurn(address,uint256)
approveBurnDelegate(address)
approveForBurn(address,uint256)
assignBurner(address)
authorizeBurner(address)
authorizeIcoBurn()
autoBurn()
bankBurnFrom(address,uint256)
baseBurnPercentage()
batchBurn(address[],uint256[])
batchBurnFor(address[],uint256[])
bigBurn()
bigBurnBlocks()
bigBurnOn()
bigBurnRate()
bigBurnStart(uint256,uint256,uint256)
bigBurnStartBlock()
bigBurnStop()
boostedBurn((uint8,address,uint256,bytes,(uint96,uint96,uint96,uint96),(address,uint64,uint64,bool)),(bytes32,bytes32,uint8))
boostedBurnBatch((uint8,address,uint256,bytes,(uint96,uint96,uint96,uint96),(address,uint64,uint64,bool))[],(bytes32,bytes32,uint8)[])
bulkBurn((address,uint256)[])
burn()
burn(address)
burn(address,address)
burn(address,address,uint256)
burn(address,address,uint256,uint256)
burn(address,bool)
burn(address,bytes32,uint256)
burn(address,uint128)
burn(address,uint256)
burn(address,uint256,address)
burn(address,uint256,bool)
burn(address,uint256,bytes,bytes)
burn(address,uint256,bytes32)
burn(address,uint256,string)
burn(address,uint256,string,string,bytes32)
burn(address,uint256,uint256)
burn(address,uint256,uint256,address)
burn(address,uint256,uint256,uint256)
burn(address,uint256,uint256,uint256,bytes)
burn(address,uint256,uint8)
burn(bytes,address,uint256)
burn(bytes32)
burn(bytes32,bytes32)
burn(bytes32,uint256)
burn(int256,int256,int256)
burn(string,uint256)
burn(uint128)
burn(uint256)
burn(uint256,address)
burn(uint256,address,uint256)
burn(uint256,address[])
burn(uint256,bool)
burn(uint256,bool,address[],uint256)
burn(uint256,bool,uint256)
burn(uint256,bytes)
burn(uint256,bytes,bytes)
burn(uint256,bytes32)
burn(uint256,string)
burn(uint256,string,string)
burn(uint256,string,string,uint256)
burn(uint256,string,uint256)
burn(uint256,uint256)
burn(uint256,uint256,uint256)
burn(uint256,uint256,uint256,uint256)
burn(uint256,uint256,uint256,uint256,address,uint8,bytes32,bytes32,uint256)
burn(uint256,uint32,bytes)
burn(uint256,uint8)
burn(uint32)
burn(uint64,string)
burn(uint64,string,uint64)
burn(uint8,uint256)
burn2(address,uint256)
burnA(uint256,uint256)
burnAPI(address,uint256)
burnAZLTEST(uint256)
burnAccount()
burnAccount(address,uint256)
burnAccountMoeny(address,uint256)
burnAccounts(address)
burnActive()
burnAdd()
burnAddr()
burnAddress()
burnAddress(address,uint256)
burnAddress2()
burnAddressModify(address)
burnAdmin()
burnAdminAmount(uint256)
burnAfterRefund(address)
burnAfterSoldAmount()
burnAfterTwoHours(address)
burnAfterUpgrade(uint256)
burnAgents(address)
burnAirDrop(address[])
burnAll()
burnAll(address)
burnAll(address[])
burnAll(int256,int256)
burnAll(string)
burnAllFrom(address)
burnAllOfCrowdSale()
burnAllOwnerTokens()
burnAllTokens()
burnAllTokens(address)
burnAllowance(address)
burnAllowance(address,address)
burnAllowance(address,uint256)
burnAllowed()
burnAllowedAfter()
burnAmount()
burnAmount(address)
burnAmountOfTokensFromTheCallerBECAREFUL(uint256)
burnAndCollectEther(address)
burnAndConvertToQUA(uint256)
burnAndMint(address,address,uint256)
burnAndRedeem()
burnAndRetrieve(uint256)
burnAndReward(uint256)
burnAndReward(uint256,address)
burnAndSwap(address)
burnAndTransfer(address,uint256)
burnApprove(address)
burnArb(uint256)
burnArb(uint256,address)
burnArt(uint256)
burnAt(address,uint256)
burnB(uint256,uint256)
burnBAEXtoERC20(address,uint256)
burnBP()
burnBREEDTOKENcoin(uint256)
burnBadge(uint256)
burnBalance()
burnBalanceOf(address)
burnBannedUserBalance(address)
burnBaseRate()
burnBasisPoints()
burnBatch(address,uint256[],uint256[])
burnBeforeBlockNumber()
burnBeforeBlockNumberDisabled()
burnBeforeRelease(uint256)
burnBlackFunds(address)
burnBlackListAmount(address,uint256)
burnBlacklistToken(address,uint256)
burnBlacklisted(address,uint256)
burnBlacklistedFunds(address)
burnBlocked(address,uint256)
burnBond(address,uint256)
burnBonuses()
burnBots()
burnBridge(address,uint256,string)
burnByAddress(address)
burnByAddress(address,uint256)
burnByAgent(address,uint256)
burnByAmount(uint256)
burnByBank(address,address,uint256)
burnByBridge(address,uint256)
burnByCover(address,uint256)
burnByCreator(address,uint256)
burnByDAO(address,uint256)
burnByExchange(uint256)
burnByOwner(address)
burnByOwner(address,uint256)
burnByPercentage(uint8,uint8)
burnByPool(address,uint256)
burnByRuler(address,uint256)
burnByValue(uint256)
burnByWeth(uint96)
burnByowner(address,uint256)
burnCMDFT(uint256,address)
burnCall()
burnCall4Wis(address,uint256)
burnCalls(uint256)
burnCarbonDollar(address,uint256)
burnChadforEth(uint256)
burnCherryPopRewards()
burnCoin()
burnCoin(uint256)
burnCoins(uint256)
burnCoins(uint256,uint256)
burnContract()
burnContract(string)
burnContractCoins(uint256)
burnContractTokens(uint256)
burnCorn(address,uint256)
burnCount()
burnCrowdsale()
burnCrown(uint256)
burnCyan(uint256)
burnCzxp(address,uint256)
burnDSDForCDSD(uint256)
burnDSDForCDSDAndBond(uint256)
burnDead(address,uint256)
burnDead(uint256)
burnDecimals()
burnDelum(uint256)
burnDenominatedInDai(uint256,bytes)
burnDexter(uint256)
burnDisabledAtAmount()
burnDistributorTokensAndUnlock()
burnDivisor()
burnDragons(uint256)
burnEMDS(uint256)
burnEnabled()
burnEncrypto(uint256)
burnEndowmentMultiplier()
burnEtherForMember(address)
burnEthereumDiamond(uint256)
burnExcess(uint256)
burnExempt(address)
burnFactor()
burnFeatureDeactivation()
burnFee()
burnFee(address)
burnFeeBase()
burnFeeDenominator()
burnFeeFlat()
burnFeeIsCycling()
burnFeeMax()
burnFeeMin()
burnFeeNumerator()
burnFeePercentage()
burnFeeReceiver()
burnFeeTotal()
burnFinish()
burnFinished()
burnFor(address,uint256)
burnForAllowance(address,address,uint256)
burnForBridge(address,uint256)
burnForCrowdsale(uint256)
burnForETH()
burnForMainnet(bytes32)
burnForMarket(uint256)
burnForParticipant(address,uint256)
burnForSelf(uint256)
burnFormula()
burnFreezed(address)
burnFrom(address)
burnFrom(address,address,uint256)
burnFrom(address,uint256)
burnFrom(address,uint256,bytes)
burnFrom(address,uint256,bytes32)
burnFrom(address,uint256,bytes32,uint8,bytes32,bytes32)
burnFrom(address,uint256,string)
burnFrom(address,uint256,uint256)
burnFrom(address,uint32)
burnFrom(address[],uint256[])
burnFrom(uint256)
burnFrom(uint256,address)
burnFromAPI(address,address,uint256)
burnFromAddress(address)
burnFromAddress(address,uint256)
burnFromAddress(uint256)
burnFromAdmin(uint256)
burnFromBip32X(address,uint256,uint256)
burnFromByAddress(address,uint256,address)
burnFromByOwner(address,uint256)
burnFromContract(uint256)
burnFromDaico(address)
burnFromIco()
burnFromOwner(address,uint256)
burnFromOwner(uint256)
burnFromPool()
burnFromPool(uint256)
burnFromProxy(address,address,uint256)
burnFromSuper(address,uint256)
burnFromTotal(uint256)
burnFromUni(uint256)
burnFromVault(uint256)
burnFromVesting(uint256)
burnFromWithData(address,uint256,bytes)
burnFromWithoutAllowance(address,uint256)
burnFrombyOwner(address,uint256)
burnFrozen(address,uint256)
burnFrozenTokens(address)
burnFrozenTokens(address,bytes[])
burnFst()
burnFuel(address,(uint8,uint96))
burnFuel(uint256)
burnFunds(uint256)
burnGaia(uint256)
burnGlobFoneCoin(uint256)
burnGold(uint256)
burnGovernance()
burnHackingAmount(address,string)
burnHalf()
burnHumanAddress(address,uint256)
burnHxyf(uint256)
burnICOTokens()
burnIcoCoins()
burnIcoTokens()
burnInactive(address)
burnIndexedByAddress(address,uint256)
burnIndexedFromByAddress(address,address,uint256)
burnInk(uint256)
burnInterval(uint256)
burnInvest(address,uint256)
burnInvestorTokens(address)
burnInvestorTokens(address,uint256)
burnLP()
burnLP(uint256,uint256)
burnLPs(uint256)
burnLPtokens()
