BALANCE_LIMITER_ROLE()
Balance()
BalanceContract()
BalanceOf(address)
BalanceOwner()
Balances(address)
GETETH()
GetADRform(address)
GetAccess(address)
GetAccountIsFrozenByDateCount()
GetAccountIsFrozenCount()
GetAccountIsLockByDateCount()
GetAccountIsLockCount()
GetAccountIsNotFrozenCount()
GetAccountIsNotFrozenForReturnCount()
GetAccountIsNotLockCount()
GetAccountIsNotLockForReturnCount()
GetAddressExpTime(address)
GetBalance()
GetBank()
GetBoosterCount()
GetBoosterData()
GetBoosterData(uint256)
GetBurningStatus()
GetBuyBackTimeInterval()
GetBuyPrice()
GetCirculatingSupply()
GetCountryCode(uint16)
GetCurrentICOCycle()
GetData(address)
GetDaysToExpired(address)
GetDivs(address)
GetEOGPrice()
GetEtherSpent(address)
GetFarmData(address)
GetFreeTokens()
GetGlobalProduction()
GetHardcap()
GetHoldersCount()
GetICOData(uint256)
GetLastBurn()
GetMaxEther()
GetMaxPrestigeLevel()
GetMaxStageEthAmount()
GetMaximumNToken(address)
GetMinedTokens()
GetMinerAt(uint256)
GetMinerData(address)
GetMinerICOData(address,uint256)
GetMinerRigsCount(address,uint256)
GetMinerUnclaimedICOShare(address)
GetMintingStatus()
GetMonthlyLatePenalty(uint256,uint256)
GetMyRecommendNumber(address)
GetNow()
GetNowStakingApply()
GetNumberOfEthPoolStakes(address)
GetNumberOfRigs()
GetNumberOfStakes(address)
GetOwner()
GetPVPData(address)
GetPermissionsList(address)
GetPotInfo()
GetPrestigeInfo(uint256)
GetPriceOfRigs(uint256,uint256,uint256)
GetPriceOfTroops(uint256,uint256,uint256)
GetProductionPerSecond(address)
GetRandomHuman(uint256,uint256,uint256)
GetRandom_In52(uint256)
GetRedeemAmount(uint256,uint8)
GetRigData(uint256)
GetRigData(uint8)
GetRobinHoodMonthlyAmount(uint256,uint256)
GetRole(address)
GetSafetyStatus()
GetSale()
GetSellPrice()
GetSoftcap()
GetStakingNow()
GetStats()
GetStorysafeGuard()
GetStroyByindex(uint256)
GetStuckTokens()
GetSummFee(uint256)
GetSummReward(uint256)
GetSwapMinutes()
GetTimeUntilNextDailyUpdate()
GetTokenBalance()
GetTokenPriceCents()
GetTotalMinerCount()
GetTotalRigCount()
GetUserBalanceByIndex(uint256)
GetUserBitFlag(address)
GetUserExpire(address)
GetUserExtraData1(address)
GetUserExtraData2(address)
GetUserExtraData3(address)
GetUserID(address)
GetUserInfo(address)
GetUserNickName(address)
GetUserPELOAmount(address)
GetUserPELOBonus(address)
GetValidBalance(address)
GetVotedata(uint256)
GetcrowdsaleContract()
ISIN()
ISRC()
IS_BLACKLISTED()
IS_CND_CONTRACT_MAGIC_NUMBER()
IS_DEPOSIT_ADDRESS()
IS_REGISTERED_CONTRACT()
IS_SIGNATORY(address)
IsAirDropEnabled()
IsAirdrop()
IsBlacklisted(address)
IsBurnable(address,address)
IsClaimablePhase()
IsDistribRunningFalg_()
IsDistribStarted()
IsEnable()
