ADDR_OWNER()
ADMIN()
ADMIN_ALLOWANCE()
ADMIN_CONFIG_ID()
ADMIN_FEE()
ADMIN_ROLE()
ADMIN_TOO()
ADVISOR1()
ADVISOR2()
ADVISOR3()
ADVISOR4()
ADVISOR5()
ADVISORS()
ADVISORS_LOCK_DATES(uint256)
ADVISORS_SHARE()
ADVISORS_SUPPLY_LIMIT()
ADVISORS_WALLET()
ADVISORY_BOARD_TOKENS()
ADVISORY_TEAM_PORTION()
ADVISOR_1()
ADVISOR_2()
ADVISOR_3()
ADVISOR_4()
ADVISOR_5()
ADVISOR_ALLOCATION()
ADVISOR_POOL_INIT()
ADVISOR_REWARD()
ADVISOR_SUPPLY()
ADVISOR_SUPPLY_INITIALIZED()
AGENT_REGISTRY()
ALLOCATION_FOR_ADVISORS()
ALLOCATION_FOR_PARTNERS_AND_ADVISORS()
ALLOC_ADVISORS()
APPROVE_OPERATOR_ROLE()
APPROVE_WITH_AUTHORIZATION_TYPEHASH()
ATTORNEY()
AUTHOR()
AVAILABLE_OWNER_SUPPLY()
AVAILABLE_OWNER_SUPPLY_ADDRESS()
AcceptOwnership()
AddAdmin(address)
AddMinter(address)
AddNRTManager(address)
Admin()
AdminAddress()
AdminAllowance()
AdminAuthAddrAll(address)
AdminBuyForSomeone(uint16,address)
AdminList(address)
AdminRewardAmount_()
AdminRole(address)
AdminSetSharesAddress(address)
AdminSupply()
AdmineAdvisorTokens()
AdmineTeamTokens()
AdvisorPoolAddress()
AdvisorsAddr()
AdvisorsAddress()
AdvisorsTeam()
Agents(address)
AssignGGCOwner(address)
AssignGGEOwner(address)
AssignOwner(address)
Author()
Authorization(address)
AwhitelistAdministrator(address,bool)
BENEFICIARY_MANAGER_ROLE()
BLACKLIST_MANAGER_ROLE()
BRIDGE_OWNER_ROLE()
BURNER_ADMIN_ROLE()
BW_ADMIN()
BalanceOwner()
BurnByOwner(address,uint256)
CANCEL_AUTHORIZATION_TYPEHASH()
CONTRACT_AGENT()
CONTROLLER_ROLE()
ChangOwner(address)
ChangeCrowner(address)
ChangeOperator(address)
ChangeOwner(address)
ChangeOwnership(address)
ChangeSuperAdmin(address)
ChangeTokenManager(address)
ClaimInterest()
Coin_manager()
Contadmin()
Contracts_Owner()
Controller()
Controller(address,address,uint256)
CrowdSale_AssignOwnership(address)
CurrentOwner()
DECREASE_ALLOWANCE_WITH_AUTHORIZATION_TYPEHASH()
DEFAULT_ADMIN_ADDRESS()
DEFAULT_ADMIN_ROLE()
DEFROST_INITIAL_PERCENT_OWNER()
DEFROST_MONTHLY_PERCENT_OWNER()
DISTRIBUTOR_CONFIG_ID()
DISTRIBUTOR_ROLE()
DelAdmin(address)
DeleteStakingByAdmin(uint256)
Distributor()
EMISSION_MANAGER()
EMISSION_MANAGER_ROLE()
ERROR_CALLER_ALREADY_OWNER()
ERROR_NOT_PROPOSED_OWNER()
EthToOwner(address,uint256)
EthertoteAdminAddress()
GOVERNANCE_ADMIN()
GetOwner()
GiftsOfOwner(address)
ICOcontroller()
IFVOwner()
ILFManager()
ILFManagerCandidate()
ILFManagerCandidateKeyHash()
INCREASE_ALLOWANCE_WITH_AUTHORIZATION_TYPEHASH()
InitialOwnerAddress()
IsOwner(address)
KYC_ADMIN_ROLE()
LIMITED_ADMIN()
LiquidityManager()
LockMechanismByOwner(address,uint256)
MANAGER_ROLE()
MANAGER_SUPPLY()
MARKET_MAKER_ADMIN()
MAX_OWNER_COUNT()
MFMinter()
MIMO_MINTER_ROLE()
MINTER()
MINTER_ADMIN_ROLE()
MINTER_ROLE()
MainPayingAgent()
MakeAdministrator(address)
Managers(address)
Mapping__OwnerUserIdAlloweUserId_ERC20Amount(uint256,uint256)
Mapping__OwnerUserId_ERC20Amount(uint256)
MaxTokenAdminQty()
MintToOwner(uint256)
Minter()
Minter(address)
MinterFunction(address,uint256)
NewOwner()
ONLY_OWNER()
OPERATOR()
OPERATOR_ADMIN_ROLE()
OPERATOR_LOCK_FEE()
OPERATOR_MAX_COUNT()
OPERATOR_ROLE()
OPERATOR_UNLOCK_FEE()
OWNER()
OWNERSTAKE()
OWNERS_ALLOCATED_TOKENS()
OWNERS_AND_PARTNERS_ADDRESS()
OWNERS_AND_PARTNERS_SUPPLY()
OWNERS_TOKENS_AMOUNT()
OWNER_ADDR()
OWNER_ADDRESS()
OWNER_LOCKED_IN_COMMON()
OWNER_LOCK_BLOCKS()
OWNER_ROLE()
OWNER_SUPPLY()
OWNER_TOKENS()
OWNER_TOKENS_PERCENT()
OWNER_TOKEN_PERCENTAGE()
OWNER_TRANSFER_TOKENS()
OWN_DistributeTokenAdmin_Multi(address[],uint256,bool)
OWN_transferOwnership(address)
OperatorsTotalPopping()
Owner()
OwnerAddress()
OwnerDefined()
OwnerDistribSupply_()
OwnerFreeze(uint256,address)
OwnerICOsupply()
OwnerRecall(address,uint256)
OwnerReward()
OwnerTransfer(address,address,uint256)
OwnerTransfer(address,uint256)
OwnerTransferTokens(address,address,uint256,address)
OwnerUnfreeze(uint256,address)
OwnerWallet()
Owner_creator()
Owner_manager()
Owner_master()
Ownerburn(uint256,address)
OwnerfeeDistributor()
OwnerfreezeOf(address)
OwnershipTransfer(address)
OwnertxFee()
PAUSER_ADMIN_ROLE()
PAUSE_MANAGER_ROLE()
PERMISSIONMANAGER_KEY()
RECEIVE_WITH_AUTHORIZATION_TYPEHASH()
REGISTRY_MANAGER_ROLE()
RESERVED_ADVISORS_GROUP()
RESERVED_TOKENS_BOUNTIES_ADVISORS()
REWARDS_DISTRIBUTOR()
ROLE_ACCESS_MANAGER()
ROLE_ADMIN()
ROLE_ADMINISTRATOR()
ROLE_ADVISOR()
ROLE_MANAGER()
ROLE_MINTER()
ROLE_OWNER()
ROLE_PAUSE_ADMIN()
ReconManager()
Reconminter()
ReconnewOwner()
Reconowner()
RemoveAdmin(address)
RemoveAdministrator(address)
RemoveMinter(address)
RenounceOwnership()
SCALINGFUNDS_AGENT()
SFI_minter()
SPECTRE_BOUNTY_ADVISORY_DEV_TEAM_ALLOC()
SPYdeployerOwner()
STAKERADDRESS()
STAKER_ROLE()
STTadmin1()
STTadmin2()
